Source,Target,Weight
general,ethical,7
assisted,ethics,7
ethical,risk,7
ethical,systems,7
fake,news,7
responsibility,accountability,7
philosophical,transactions,6
data,data,6
european,union,6
adams,balfour,6
principles,retrieved,6
ai,agents,6
data,collected,6
science,university,6
group,ethics,6
health,ethics,6
published,online,6
use,digital,6
department,health,6
responsible,development,6
risks,principles,6
principles,values,6
choice,architectures,6
chicago,press,6
human,autonomy,6
ethical,codes,6
machine,intelligence,6
contested,concepts,6
industrial,revolution,6
human,autonomous,6
moral,machines,6
great,deal,6
applications,ai,6
social,political,6
questions,public,6
cf,si,6
technical,fixes,6
research,council,6
learning,systems,6
digital,modernity,6
society,large,6
research,community,6
select,committee,6
decision,support,6
turing,test,6
decisions,ai,6
aamas,pages,6
advanced,science,6
civil,society,6
governance,ai,6
ready,willing,6
ethical,artificial,6
intelligent,machines,6
taken,granted,6
state,university,6
moral,judgment,6
look,like,6
committee,artificial,6
data,analysis,6
intelligence,human,6
ficial,intelligence,6
unspecified,citation,6
state,surveillance,6
important,step,6
technology,ethics,6
leading,ai,6
freedom,autonomy,6
legal,framework,6
political,engagement,6
privacy,protection,6
implicit,ethical,6
set,rules,6
legal,ethical,6
theory,practice,6
cognitive,degeneration,6
minds,machines,6
creative,commons,6
important,note,6
homosexuel,révolutionnaire,6
advances,ai,6
incentivise,financially,6
si,table,6
public,health,6
social,moral,6
encyclopedia,philosophy,6
perceived,interests,6
european,group,6
montreal,declaration,6
robot,ethics,6
principles,recommendations,6
social,cohesion,6
epistemic,normative,6
transparency,accountability,6
physical,sciences,6
implicitly,ethical,6
ethical,reasoning,6
yu,han,6
industry,industry,6
data,quality,6
search,results,6
learning,health,6
ai,robotics,6
university,chicago,6
scoping,review,6
deepmind,ethics,6
uk,house,6
systematic,review,6
health,social,6
given,agent,6
ieee,ieee,6
society,principles,6
ai,technology,6
risk,assessment,6
cs,stat,6
arxiv,preprint,6
lecture,notes,6
dual,advantage,5
intelligence,systems,5
affected,parties,5
principles,practical,5
journal,volume,5
jessica,floridi,5
francesca,rossi,5
new,media,5
multiple,web,5
data,privacy,5
technology,ict,5
driverless,car,5
deliberative,democracy,5
washington,dc,5
ijacsa,international,5
values,ensconced,5
effy,vayena,5
future,research,5
le,droit,5
working,group,5
proceedings,ieee,5
ngiam,khor,5
proc,ieee,5
mathematical,physical,5
technology,industry,5
association,computing,5
working,class,5
surveillance,practices,5
declaration,responsible,5
internet,society,5
action,points,5
developing,ai,5
ict,purposes,5
cambridge,uk,5
ai,industry,5
institutional,sectoral,5
group,ai,5
electronic,health,5
protection,authority,5
uk,company,5
montréal,declaration,5
systematic,reviews,5
european,parliament,5
smart,agency,5
carsten,stahl,5
social,networks,5
ensure,ai,5
social,norms,5
ethics,vol,5
widespread,use,5
health,ai,5
journal,ethics,5
surveillance,surveillance,5
stanford,encyclopedia,5
wachter,mittelstadt,5
ethical,machine,5
retrieved,july,5
ethical,frameworks,5
accountable,algorithms,5
existing,guidelines,5
neural,networks,5
sign,letter,5
russell,norvig,5
set,values,5
data,subjects,5
sector,web,5
sciences,research,5
